Comments,sentiment
ক্যামেরা সন্তোষজনক মানের নয়,Negative
"ক্যাশ ব্যাক দেয়নি, বাজে ব্যাপার।",Negative
"ক্রয় সম্পর্কে বেশ হতাশ,",Negative
খাঁটি দুই নাম্বার বস্তু।,Negative
খারাপ মানের সংযোগ,Negative
খুব আরামদায়ক হালকা উপাদান,Positive
খুব কম চার্জ থাকে,Negative
খুব কম মানের কাপড়,Negative
খুব কমেই ভাল পন্য পেলাম।,Positive
খুব খারাপ ঘড়ি আমি ৩ দিন ও ব্যবহার করতে পারলাম না।,Negative
খুব খারাপ প্রোডাক্ট কোয়ালিটি,Negative
খুব খারাপ ফুলহাতা টিশার্ট এটা জেনে বুঝে অর্ডার দিবেন রিটার্ন দিব,Negative
খুব খারাপ মানের এবং সস্তা মানের।,Negative
খুব খারাপ মানের মানিব্যাগ,Negative
খুব খারাপ লাগলো ছেড়া বেডশিট দিছে কেউ কিনবেন না,Negative
খুব খারাপ লাগলো সেলারকে এতো গুলো মেসেজ দিলাম উনি কোনো রিপ্লাই দিলো না,Negative
খুব খুব খুব নিম্নমানের জিনিস,Negative
খুব খুব ভালো আমার অনেক পছন্দ হয়েছে,Positive
খুব খুব হতাশ .,Negative
খুব তাড়াতাড়ি ডেলিভারি দেওয়া হয়েছে,Positive
খুব তাড়াতাড়ি ডেলিভারি দেওয়া হয়েছে🤘 হেডফুন অনেক ভালো,Positive
খুব দরিদ্র মানের এবং খারাপ ফিটিং,Negative
খুব দীর্ঘ টেকসই ইয়ারফোন।,Positive
খুব দেরী ডেলিভারিতে,Negative
খুব নরমাল পণ্য প্রদান করে ।,Negative
খুব পছন্দ হয়েছে,Positive
"খুব বাজে আর নরমান কোয়ালিটি ,",Negative
"খুব বাজে একটা প্রডাক্ট, কেরোসিন ব্যবহার করতে হয়,
দেখতে ভালো আছে কিন্তু আগুন জ্বলে না।",Negative
"খুব বাজে ও নিম্ন মানের, কোয়ালিটির পণ্য।",Negative
"খুব বাজে কোয়ালিটি, কিনে ঠকেছি।",Negative
খুব বাজে। তার উপর ডেলিভারি আসছে প্রেডিক্টেড ডেলিভারি ডেইটের আরো ২দিন পর।,Negative
"খুব ব্যবহারকারী বন্ধুত্বপূর্ণ, আমার কোন সমস্যা ছিল না",Positive
খুব ভাল একটা জিনিস।,Positive
খুব ভাল জল ফিল্টার।,Positive
খুব ভাল দামে ভাল জিনিস,Positive
খুব ভাল পণ্য এবং ভাল সেবা,Positive
"খুব ভাল মানের প্রিন্টার,",Positive
খুব ভাল মানের. মান অসামান্য।,Positive
খুব ভাল সব মিলিয়ে,Positive
খুব ভা‌লো এক‌টি মে‌শিন।,Positive
খুব ভালো পড়েছে। যেমনটা চেয়েছি তেমনটাই পেয়েছি ।ধন্যবাদ সেলার কে। আপনারা চাইলে নিতে পারেন।রেঞ্জ খুব্ ভাল।☺️,Positive
"খুব ভালো প্রোডাক্ট যেমনটি ছিলো ছবিতে ঠিক তেমনই পেয়েছি। 
",Positive
"খুব ভালো প্রোডাক্ট! হাতে নিয়ে প্রিমিয়াম ফিরে পাওয়া যায়। প্রথমবার হাতে নিয়েই মন খুশি হয়ে গেছে! আর দেখতে অনেক সুন্দর, ওজন হালকা ভারী হওয়ার হাতে নিয়ে অনেক ভালো লাগে সাইজটা কিছুটা ছোট তাই সহজে ক্যারি করা যায়! ঢাকনাটা খোলা ও বন্ধের সময় সুন্দর একটা ক্লিকি সাউন্ড দেয়! সমস্যা একটাই ফুয়েল ট্যাংক টা একটু ছোট তাই নিয়ে খুব তাড়াতাড়ি শেষ হয়ে যাবে! কিন্তু সেটা কিছু মনে হবে না কারণ প্রোডাক্টটি হাতে নিয়ে ইউজ করলে মন শান্তি হয়ে যাবে! ব্ল্যাক কালার চেয়েছিলাম সেলার এটাই দিয়েছে ধন্যবাদ সেলার কে! আমার সব বন্ধুই এটা পছন্দ করেছে। ১০০% রিকমেন্ডেড",Positive
"খুব ভালো প্রোডাক্ট! হাতে নিয়ে প্রিমিয়াম ফিরে পাওয়া যায়। প্রথমবার হাতে নিয়েই মন খুশি হয়ে গেছে! আর দেখতে অনেক সুন্দর, ওজন হালকা ভারী হওয়ার হাতে নিয়ে অনেক ভালো লাগে সাইজটা কিছুটা ছোট তাই সহজে ক্যারি করা যায়! ঢাকনাটা খোলা ও বন্ধের সময় সুন্দর একটা ক্লিকি সাউন্ড দেয়! সমস্যা একটাই ফুয়েল ট্যাংক টা একটু ছোট তাই নিয়ে খুব তাড়াতাড়ি শেষ হয়ে যাবে! কিন্তু সেটা কিছু মনে হবে না কারণ প্রোডাক্টটি হাতে নিয়ে ইউজ করলে মন শান্তি হয়ে যাবে! ব্ল্যাক কালার চেয়েছিলাম সেলার এটাই দিয়েছে ধন্যবাদ সেলার কে! আমার সব বন্ধুই এটা পছন্দ করেছে। ১০০% রিকমেন্ডেড",Positive
খুব ভালো মানের জুতা। ১মাস ব্যবহার করার পরে রিভিউ দিলাম। আপনারা এই প্রাডাক্ট টা নিলে ঠকবেন না।,Positive
খুব ভালো মানের রাবার &প্লাষ্টিক ব্যাবহার করা হয়ছে. এই সপে সব প্রকার মাল ভালো চাইলে নিতে পারেন,Positive
খুব ভালো যেমনটা চেয়েছিলাম তেমন | দাম হিসেবে পণ্য ঠিক আছে,Positive
খুব লোভনীয় দামে ভাল প্রোডাক্ট,Positive
খুব শখ করে কিনেছিলাম। বাকি ওয়েট স্কেল থেকে তুলনামুলক কম দাম।,Positive
খুব সল্প দামে প্রিন্টার টি পেলাম।,Positive
"খুব সুন্দর একটা থ্রি পিচ খুব ভালো লাগছে 
যে রকম ভাবছিলাম তার থেকে ও সুন্দর",Positive
"খুব সুন্দর একটা প্রডাক্ট, সবাই নিতে পারেন।",Positive
"খুব সুন্দর একটি স্পিকার , তাড়াতাড়ি ডেলিভারি পেয়েছি। কালো কালার টা পেলে খুশি হতাম তবে এটাও খুব সুন্দর কালার।",Positive
খুব সুন্দর কনফিগারেশন,Positive
খুব সুন্দর চাইলে নিতে পারেন,Positive
খুব সুন্দর প্রডাক্ট। পেকেজিং খুবই ভাল ছিল। সময় মত ডেলিভারি হাতে পেয়েছি,Positive
খুব সুন্দর ফিটিং হয়েছে। দ্রুত ডেলিভারি পেয়েছি। ধন্যবাদ সেলার কে।,Positive
খুব সুন্দর হয়েছে ভাইয়া,Positive
"খুব সুন্দর হয়েছে মোবাইলের সাথে,",Positive
"খুব সুন্দর হেডফোন,",Positive
খুব স্পষ্ট শব্দ এবং টেকসই হেডফোন।,Positive
খুব হতাশ। সর্বনিম্ন মানের।,Negative
খুব হাই কোয়ালিটি জিনিস না,Negative
খুব হেপি প্রোডাক্টটা পেয়ে।,Positive
খুবই ভালো পারসোনাল ইউজের জন্য।,Positive
খুবই কম দামে মোটামুটি মানের হেডফোন।,Positive
খুবই খারাপ প্রোডাক্ট। ৩ দিনেই নষ্ট হক্যে গেছে।,Negative
খুবই জঘন্য মানের।,Negative
খুবই থার্ড ক্লাস একটা প্রোডাক্ট দিসে,Negative
খুবই নিম্ন মানের ব্যাগ,Negative
"খুবই নিম্নমানের একটা কালো কালারের জ্যাকেট পাঠিয়েছে, যা হতাশাজনক।",Negative
খুবই পাতলা কাপড় & এক ধোয়াতেই নষ্ট হয়ে গিয়েছে????????,Negative
খুবই পাতলা। শীতের জন্য সঠিক না। ডেলিভারি ৭ দিন সময় লাগল!,Negative
খুবই ফালতু এবং বাজে একটা ওয়েবসাইট..,Negative
খুবই বাজ পন্য। বাজে ইয়ার ফোন দিয়েছে দুইটার একটাও ঠিক মত কাজ করে না আবার একটার বাডও ছিড়া।,Negative
"খুবই বাজে অভিজ্ঞতা ,, ভালো রিভিউ দেখে অর্ডার দিয়েছিলাম",Negative
"খুবই বাজে অভিজ্ঞতা ,, ভালো রিভিউ দেখে অর্ডার দিয়েছিলাম এই ট্রিমার টা কিন্তু ছবিতে উল্লেখিত ট্রিমারের হেড মোটেও কাজ করে নাহ অনেক ভাবে ট্রাই করেছি কাজ হয় নাহ এইগুলো দিয়ে একবারে বাজে জিনিস",Positive
খুবই বাজে আর জঘন্য।,Negative
"খুবই বাজে একটা ট্রিমার, ত্বকে ছিদ্র করে ফেলে (মানে ধারালো), চার্জ যা বলে তার অর্ধেক থাকে, রির্টান করছিলাম ফেরত নেয় নাই, আবার লেখা থাকে সহজ রির্টান, এখন নিবেন কি-না আপনার মতামত, আমি কোন ভাল দিক পাই নাই এটাতে । ধন্যবাদ ।",Positive
খুবই বাজে মান ভালো না এক কান নষ্ট,Negative
খুবই বাজে লাগলো না আমার কাজে 🙂।,Negative
খুবই বাজে সাউন্ড কোয়ালিটি,Negative
খুবই বাজে। একটা চার্জ হয়না বললেই চলে। গান/মুভি দেখার জন্য ভাল। কথা বলার জন্য এর চেয়ে খারাফ আর নাই,Negative
খুবই বাজে। কাপড়ের মান খুবই খারাপ।,Negative
"খুবই ভাল একটা পণ্য, কালার, ডিজাইন, মাপ ঠিক আপনারা নিতে পারেন ,ছবির মতই ।",Positive
খুবই ভাল এবং সাস্থ্যকর বেবি প্রোডাক্ট।,Positive
খুবই ভাল ছিল এক্সপেরিয়েন্স,Positive
"খুবই ভালো প্রোডাক্ট, আমার পছন্দ হয়েছে। আপনারা কিনতে পারেন। ব্যাটারি চার্জ করা যায়।",Positive
"খুবই ভালো মানের পন্য। দেখতেও সুন্দর আর জুতার কোয়ালিটি টাও খুবি দারুণ, আপনারা কিনতে পারেন",Positive
খুবই ভালো মানের প্রোডাক্ট......,Positive
"খুবই সুন্দর একটি প্রোডাক্ট। অনেক দূর পর্যন্ত যাই লাইট আবার দিনেও অনেক ভালোই দেখা যায়। আগুন জ্বালানোর জন্য আপনাকে এটার প্রথম লেন্সটা খুলে এপারচার লেন্সটা ঘুরিয়ে শেষ পর্যন্ত আনতে হবে তারপর লাইট জ্বালিয়ে বরাবর ৭ সে.মি. দুরত্বে দিয়াশলাই রেখে ১০ সেকেন্ড অপেক্ষা করলেই আগুন জ্বলে উঠবে। আমি লেন্সটা পুরো খুলে আগুন জ্বালানোর কারণে লেন্স নষ্ট হয়ে গেছে, আরেকটা নিব ভাবছি।",Positive
খুবই সুন্দর এবং আরামদায়ক । সাইজটাও পারফেক্ট ছিল । গরমের দিনের জন্য খুবই ভালো,Positive
"খুবই সুন্দর জুতা পেয়েছি ঐ দামে, এটা আমার চাহিদার মতো আছে। ভেলিভারি ভাইকে এবং ডারাজকে ধন্যবাদ জানাতে চাই এই সুন্দর পণ্য দেওয়ার জন্য। সকলে কিনতে পারবেন, কোনও সমস্যা নেই।",Positive
"খুবই সুন্দর সার্ভিস পাচ্ছি,",Positive
খুবি খারাপ একটি প্রডাক্ট,Negative
"খুবি নিম্নমানের, সাইজ এর কোন বাপ মা নাই।",Negative
খুবি বাজে এবং ফালতু কোয়ালিটি,Negative
খুবিই নিম্নমানের পন্য।,Negative
"খেয়াল করে দেখার দরকার, ডেলিভারি সময় অনেক দেরি হচ্ছে এবং জুতাটি কিছুটা মুটা হতে পারে এবং দামও একটু বেশি হতে পারে।",Negative
গান শোনার জন্য মোটামুটি ভালো।,Positive
গুড ডেলিভারি বিশ্বস্ত সাইট,Positive
"গুড প্রোডাক্ট, আপনারা চাইলে নিতে পারেন.আমি এর আগে একটা চার মাস ব্যবহার করছি.খুবই সুন্দর প্রোডাক্টটা।",Positive
গুণ একটি ব্যাপার। নিম্ন মানের প্রোডাক্ট।,Negative
গুণ খুব কম।,Negative
গুণ ভাল ছিল।,Positive
গুণ যথেষ্ট ভাল না,Negative
গুণমান ভাল এবং পুরোপুরি উপযুক্ত।,Positive
গুনগত মান ভা‌লো না,Negative
"গুলিস্তানের প্রোডাক্টের ব্যাপারে শুনছিলাম, দারাজে তার চাক্ষুষ প্রমাণ পেলাম🙂",Negative
গেঞ্জি টির মান খুব বেশি একটা ভালো না,Negative
গেঞ্জিটা যে রকম চেয়েছি তেমনি পেয়েছি ধন্যবাদ দারাজ কে,Positive
গেঞ্জির পিছনে একটা ফুটো।এত বাজে হবে ভাবতেই পারিনি।,Negative
গেনজিটা অনেক সুন্দর হয়েছে যেরকম চেয়েছিলাম তেমোনি পেয়েছি অনেক ধন্যবাদ,Positive
গেনজির রেখা গুলা ওঠেগেছে,Positive
গেন্জিটা খুব সুন্দর। আমার খুব পছন্দ হয়েছে। তবে সব থেকে খুশির বিষয় আমার সাইজে যখন হয়নি বলে আমি রিপোর্ট করেছিলাম তখন ডারাজ আমাকে গেন্জিটা গিফ্ট করলো। আমি টাকাও ফেরত পেয়েছি।,Positive
"গেম খেলতে আমার ভিষণ পরবলেম হচ্ছে, যদি পারেন এই পরবলেমের একটা ব্যবস্থা করেন, আমার ১৯০ টাকায় মাটিতে যাবে না হলে",Negative
গেমিং খুব মসৃণ,Positive
গ্রাহক সেবা অসাধারণ ছিল,Positive
গ্রাহক সেবা চমৎকার ছিল,Positive
"গ্রেট জিন্স এটা দুর্দান্ত,",Positive
গ্রেট ফিট। পরতে আরামদায়ক.,Positive
"গ্লাস এর উপর প্লাস্টিক টা দুই পাশে বেশ কিছুটা উঠানো ছিল,,,, যেটা মোটেও কাম্য নয়,,",Negative
গ্লাসটা হাতে পেয়ে খুবই হতাস। কারো রিটার্ন করা গ্লাসটা দিয়ে দিচে।,Negative
ঘড়িটা অনেক সুন্দর আর উপকারি।,Positive
ঘরিটা সুন্দর,Positive
ঘরে লাগালেই খুলে যাচ্ছে,Negative
চকচক করলেই সোনা হয় না। - এই প্রবাদের উজ্জ্বল দৃষ্টান্ত। ফার্স্ট ইম্প্রেশন খুব ভাল ছিলো। বাট রাতে পানি রেখে সকালে উঠে দেখি পানি আয়রনযুক্ত পানির ঘোল হয়ে আছে। এরপরের অবস্থা ছবিতেই দেয়া আছে।,Negative
চটচটে নকশা এবং অসাধারণ শব্দ,Positive
চমৎকার মানের শব্দ।,Positive
চমৎকার কর্মক্ষমতা।,Positive
চমৎকার টিশার্ট। আমার খুব পছন্দ হয়েছে। টিশার্টের কাপড় ভালো,Positive
"চমৎকার পণ্য মানের, ভাল সেবা",Positive
চমৎকার প্যাকেজিং।,Positive
চমৎকার মানের জিনিস।,Positive
চাইছি L সাইজ আর দিছে xL সাইজ হালারপ😡😡🤬🖕🏻🖕🏻🖕,Negative
চাইছি M সাইজ আর দিছে L সাইজ,Negative
চাইছি Teal কালার। দিসে Blue কালার,Negative
চাইছিলাম ৩৪ পেয়েছি ৩০ 😞 বাট কেয়ালিটি ভালো,Positive
চাইলাম একটা দিয়ে দিসে আরেকটা তা আবার xxl মতো plz রিটার্ন,Negative
চাইলাম কি আর দিলেন কি,Negative
চাইলে যে কেউ নিতে পারেন। আমারটা ভালো ছিল তাই আমি রিকমেন্ট করতেছি।,Positive
চাকরি প্রত্যাশার চেয়ে বেশি সময় নিয়েছে এবং অভদ্র গ্রাহক পরিষেবা ছিল,Negative
চামড়া আসল নয়,Negative
চামড়া সম্পর্কে বেশ বিরক্ত।,Negative
চার দিন ব্যবহার করার পর রিভিউ দিলাম সত্যি অসাধারণ চার্জিং বেকাপ ভালো এত ভালো প্রডাক্ট দেয়ার জন্যই দারাজ কে অনেক অনেক ধন্যবাদ,Positive
চার্জ ১০ মিনিটের বেশি থাকে না।,Negative
চার্জ অনেক কম থাকে,Negative
"চার্জ একেবারেই অল্প সময় টিকে! ১ ঘন্টাও টিকেনা, তার উপর চার্জ ৮০% এর বেশি উঠেনা!",Negative
চার্জ কম থাকে তাছাড়া সব ঠিক আছে।,Negative
চার্জ কম থাকে। লও কোয়ালিটি প্লাস্টিক।,Negative
চার্জার সত্যিই চমৎকার এবং ভাল।,Positive
চিটারির একটা সীমা থাকে,Negative
চিন্তা ছাড়াই ঝামেলাহীন মুদ্রণের সান্ত্বনা দিয়েছে।,Positive
চূড়িগুলি খুব মার্জারী এবং যে কোনও পোশাকের সাথে জোটা দেওয়া যেতে পারে,Positive
চেইন ফেটে গেছে,Negative
চেয়েছিলাম কালোটা কিন্তু লালটা সুন্দর সাউন্ড কোয়ালিটি অনেক ভালো,Positive
চেয়েছিলাম ফ্যাশনের আর দিয়েছেন কি,Negative
চোখ বন্ধ করে এদের কাছ থেকে প্রোডাক্ট নেয়া যায়।,Positive
ছবি আর প্রডাক্ট আকাশ পাতাল পার্থক্য।,Negative
ছবি এবং বিতরণ পণ্য একই নয়,Negative
ছবি যে রকমের এবং বাস্তবে তার বিপরীত অবশ্যই কেনার আগে এবার ভাবুন,Negative
ছবি সাথে কোন মিল নেই,Negative
ছবি সাথে জিনিস কোন মিল পাইছি না। আর ভিতরে কাপড় টা একবারে বাজে।,Negative
ছবিতে একরকম বাস্তবতা ভিন্ন,Negative
ছ‌বি‌তে দেখা‌নো শা‌র্টের রং ও ফ্যা‌ব্রি‌কের সা‌থে পাঠা‌নো শা‌র্টের কোন মিল নেই।,Negative
ছবিতে প্রিন্ট যেমন দেখানো হয়েছে তার সাথে আকাশ পাতাল তফাৎ।,Negative
ছবিতে বাডস এয়ার গুলো যেমন দেখেছিলাম সেম টু সেম পেয়েছি,Positive
ছবিতে যে রকম দেখেছি ঠিক সেরকমই পেয়েছি,Positive
"ছবিতে যেটা দেখানো হয়েছে,সেটা দেওয়া হয় নাই",Negative
"ছবিতে যেমন দেখা যায়,প্রিন্টটা সেরকম নয়,পুরাই ভিন্ন ।",Negative
ছবিতে যেমন দেখানো হয়েছে ঠিক তেমনই পেয়েছি 😊,Positive
"ছবিতে যেরকম দেখায়, ওই রকম ই প্রোডাক্ট।",Positive
"ছবির গুণমান ভালো, আমি সন্তুষ্ট।",Positive
ছবির ঘড়ির সাথে আমার কাছে দারাজের পাঠানো ঘড়ির মিল নেই,Negative
ছবির মত না,Negative
ছবির মত প্রোডাক্ট আমাকে দেয়া হয়নি।,Negative
ছবির মত প্রোডাক্ট পাইনি,Negative
ছবির মত প্রোডাক্টটি পাইনি।,Negative
"ছবির মতো টিক ই আছে ,আমি বলবো দাম হিসেবে খুব ভালোই হয়েছে ,ধন্যবাদ সেলার ও দারাজ টিম কে 👏👌🏻👍🏻",Positive
ছবির সাথে একটু মিল হলেও হতো।,Negative
ছবির সাথে কোন মিল নাই,Negative
ছবির সাথে পণ্যের কোন মিল নাই।,Negative
ছবির সাথে প্রডাক্ট এর মিল নেই এক কথায় খুব বাজে ভাবে ঠকেছি,Negative
ছবির সাথে প্রোডাক্ট এর মিল নাই,Negative
ছবির সাথে প্রোডাক্টের ১০০% মিল আছে।,Positive
"ছবির সাথে বাস্তবে কোন মিল নাই,",Negative
ছি ভাই ছি। লজ্জা করে না মানুষ রে ঠোকাইতে,Negative
ছিঁড়া প্রোডাক্ট দেন।,Negative
ছেড়া ছিল গেঞ্জি,Negative
ছোট এবং সুন্দর।,Positive
ছোট কিন্তু প্রতিটি টাকার মুল্য উঠে গেছে,Positive
জামার ওড়না এবং হাতার মিল নেই।,Negative
জাল পণ্য ও নকল পণ্য 😠😠😠,Negative
জিনজিরা তেও এর চেয়ে সুন্দর প্রোডাক্ট বানাইতে পারে।,Negative
জিনিশ আসল। সুপার ফাস্ট ডেলিভারি।,Positive
জিনিশ টেকসই না,Negative
জিনিস কেনায় দারাজ এর রেওপন্সও খুবই ভালো।,Positive
"জিনিস গুলা অনেক সুন্দর। এত ভাল প্রোডাক্ট, আপনারা নিতে পারেন।",Positive
জিনিস টি অনেক ভালো আপনারা সবাই কিনতে পারেন,Positive
"জিনিসটা অনেক ভাল। সবকিছু একদম ঠিকঠাক পেয়েছি। সেলারটাও 
অনেক ভাল। অনেক ধন্নবাদ দারাজকে।
",Positive
জিনিসটা অনেক সুন্দর খুব ভালো লেগেছে আমার চার দিনের ভিতরে ডেলিভারি পেয়েছি ধন্যবাদ দারাজ কে ও শিলার কে,Positive
জিনিসটা অস্থির এই বাজেটে ভেলু ফর মানি। চাইলে সবাই নিতে পারেন❤️ গরিবের জেবিএল,Positive
জিনিসটা খুব সুন্দর,Positive
জিনিসটা ছোট হলেও খুবই সুন্দর দেখতে।,Positive
জিন্স নিখুঁত ফিট।,Positive
জিন্স প্যান্ট কেটে বানানো.তবে অনেক সুন্দর।,Positive
"জিন্স সুন্দর এবং আরামদায়ক,",Positive
জীবনেও কখনও ডারাজ থেকে কিছু কিনবোনা।,Negative
"জীবনের প্রথম কোন কিছু দারাজ থেকে ওয়ার্ডার করলাম, আলহামদুলিল্লাহ ভালো হইছে 🥀👑",Positive
"জুতা টা অনেক সুন্দর অল্প দামের মধ্যে,,,,২ দিনের ও অল্প সময়ের মধ্যে ডেলিভারি পাবো ভাবতে পারিনি,,, অসংখ্য ধন্যবাদ সেলার ভাইকে সবকিছু ঠিকঠাক দেওয়ার জন্য",Positive
"জুতা টা আমার প্রত্যাশামূলক ছিল এবং এটি সম্পূর্ণরূপে আমার প্রত্যাশার উপর পূর্ণ হয়েছে।
সেলার ভাই প্রফেশনাল",Positive
"জুতা টা দেখতে খুব আকর্ষনীয়, আমি অনেক খুশি যে আমি এটি পেয়েছি।",Positive
জুতাটি একটি অদ্ভুত অভিজ্ঞতা সরবরাহ,Positive
জুতাটির উপরে কাজ করা সুন্দর এবং সম্পূর্ণরূপে অলংকারিত ব্যবহার করতে উত্কৃষ্ট।,Positive
জুতাটির গুণগত মান আমাকে আনন্দ দিচ্ছে এবং সেলারকে ধন্যবাদ জানাতে চাই।,Positive
জুতাটির ডিজাইন এবং কার্যক্ষমতা প্রত্যেকেই আকর্ষিত করবে।,Positive
জুতাটির মধ্যে ব্যবহৃত উন্নত মানের উপাদানগুলি অবশ্যই প্রকাশ্য এবং প্রয়োজনীয়।,Positive
"জুতাটির মান ও কার্যক্রম অত্যন্ত ভালো, আমি অন্যান্য মার্কা সংগ্রহ করার বাদে শুধুমাত্র এই জুতাটিই পছন্দ করি।",Positive
জুতাটির সুবিধাজনক ডিজাইন এবং পার্ফেক্ট ফিটিং আমাকে অনেক আনন্দ দিয়েছে।,Positive
জুতার বিভিন্ন বিন্যাস অত্যন্ত সুস্থমত এবং দুর্দান্ত দৈর্ঘ্যের জন্য আমি এটি অবিচ্ছিন্ন ভাবে ব্যবহার করতে পারছি।,Positive
জুতার মধ্যে হালকা ও কমপ্যাক্ট ডিজাইন খুব মনোযোগ আকর্ষণীয়।,Positive
"জুতার মান এবং কর্মক্ষমতা একসাথে মেলে গিয়েছে, এটি আমার প্রাথমিক অপশন হিসাবে নির্বাচিত হয়েছে।",Positive
জুতার মান এবং দামের সম্পর্কে আমি অত্যন্ত সন্তুষ্ট এবং সেলারকে অসংখ্য ধন্যবাদ জানাতে চাই।,Positive
জুতোগুলি উচ্চ মানের এবং প্রায় সব কিছুর সাথে যায়,Negative
জেনুইন চেহারা,Positive
জেনুইন পণ্য জন্য আপনাকে ধন্যবাদ।,Positive
জেনুইন প্রোডাক্ট ডেলিভারি দেওয়ার জন্য সেলারকে ধন্যবাদ,Positive
জেবিএল একটি বিশ্ব বিখ্যাত ব্র্যান্ড।,Positive
জেবিএল একটি মাস্টারপিস।,Positive
জেমন চাইছি তেমনি পাইছি,Negative
জোস একটা হেডফোন। আগেরটা ভালো ছিলো তাই আরেকটা অর্ডার দিছিলাম। এইটাও অনেক ভালো । ধন্যবাদ।,Positive
টাকা অনুপাত এ ভালো,Positive
"টাকা অপচয়, পুরোপুরি!",Negative
টাকা জন্য মূল্য এবং নির্ভরযোগ্য,Positive
"টাকা নষ্ট,কেউ কিনবেন না। আমারটা এক মাস ও টিকে নি",Negative
টাকা হিসাবে ব্যাগ অনেক ভালো হইছে,Positive
টাকা হিসেবে প্রোডাক্ট এর মান অতটা ভালো না।,Negative
টাকাটাই জলে গেল,Negative
টাকাটাই নষ্ট।,Negative
টাকার অনুপাতে বেশি ভালো না,Negative
"টার্গেট লাইট টা অনেক ভালো তার থেকে দারাজ ডেলিভারি লোক টা অনেক ভালো ছিলো তার ব্যবহার খুবই ভালো সেলার ভাই কে ধন্যবাদ 
",Positive
টি শার্ট অনেক ভালো লাগলেছ। কিন্তু প্যান্ট এ সমস্যা আছে হাই টা অনেক বড় হয়। আপনারা চাইলে নিতে পারেন।,Positive
টি শার্ট ভালো ছিলো আর সেলারের ব্যবহার খুব ভালো ছিলো,Positive
টিশার্ট টা মোটামুটি ভালো🙂 কিন্তু পেন্টটা একদম বাজে.। টিশার্ট টির শিলাই গুলো ভালো লাগে নাই.। অবশেষে বলতে গেলে Low coalition,Negative
টুথব্রাশ হোল্ডারটা খুবই ভালো ও মজবুত,Positive
টেকসই হেডফোন।,Positive
টোটালি ডেমেজ প্রোডাক্ট দিয়া দিছে।,Negative
ট্রিমার এর প্যাকেট টা একদম ইন্টেক পাই নাই।,Negative
ঠকানোর এক ধান্দাবাজি আইডিয়া ।,Negative
"ঠিক যেমনটি চেয়য়েছি তেমন টাই পাইছি, খুব ভালো মানের রাবার &প্লাষ্টিক ব্যাবহার করা হয়ছে. এই সপে সব প্রকার মাল ভালো চাইলে নিতে পারেন",Positive
ঠিক যেমনটি চেয়েছি তেমন টাই পাইছি,Positive
"ডিজাইন আর ওড়না টা ভালো,",Positive
ডিজাইন এবং কার্যকারিতা অসাধারণ,Positive
ডিজাইন খুব আড়ম্বরপূর্ণ এবং নতুন কিছু ছিল।,Positive
ডিজাইন খুব পাতলা এবং আড়ম্বরপূর্ণ।,Positive
ডিজাইন ছবির মতই।,Positive
ডিজাইন সুন্দর।,Positive
ডিজাইনটাও জোস।,Positive
ডিজিটাল প্রতারণা সুরু করল দারাজ।,Negative
"ডিটেইলস এ লেখা ছিল মেটাল ফ্রেম, কিন্তু এসেছিল চিপ রেটেড প্লাস্টিক বডির ফ্রেম৷ তাও দুই স্থানে ডিফেক্টেড।",Negative
ডিফল্টরূপে বাংলা ফন্ট সমর্থন / প্রদর্শন না।,Negative
ডিসকাউন্ট এর নামে ধান্ধাবাজি,Negative
ডিসপ্লে খুব খারাপ|,Negative
"ডিসপ্লের সাথে শার্টের কালার, কাপড়ের বিবরণ কোনটার ই কোন মিল নেই…",Negative
ডেফিনিটলি রেকমেন্ডেড,Positive
ডেলিভারি অনেক দেরিতে পেয়েছি🥺,Negative
ডেলিভারি ও প্রোডাক্ট এর মান দেখে ভরসা পেলাম।,Positive
ডেলিভারি খুব দ্রুত দিছে,Positive
ডেলিভারি খুব সুন্দর,Positive
ডেলিভারি দিতে অনেক দেরে হয়ে গেছে জুতা টা মুটা মুটি দাম টা এ কটু বেসি,Negative
"ডেলিভারি দেয়ার কথা ছিল ১৭তারিখ তবে আমি ১৬ তারিখেই পাইসি,,,ছবির মত হুবহু পেয়েসি! আমি কালো কালার টা ওর্ডার করসিলাম পিংক টা ছিলো না তাই, তবে সেলার আমাকে পিংক কালার টাই দিসে আলহামদুলিল্লাহ ,,সুন্দর ঠান্ডা বাষ্প রের হয়।",Negative
"ডেলিভারি দ্রুত দিয়েছে,দারাজ এমন সার্ভিস দিলে ভাল লাগে",Positive
ডেলিভারি দ্রুত হয়েছে।,Positive
"ডেলিভারি পাইছি দেড়িতে, কিন্তু এই গেন্জিগুলো খুবই খারাপ, একবার ধৌত করার পর রং উঠে গেছে, আমি দুই কিনছিলাম",Positive
"ডেলিভারি পেলাম আজকে খুব ভালো প্রডাক্ট, যেমনটা আশা করছিলাম তার থেকে অনেক ভালো",Positive
ডেলিভারি বেশ দ্রুত পেয়েছি।,Positive
ডেলিভারি মেনের ব্যবহার খুব ভালো ছিল। ছবিতে যেমন তেমনি পেয়েছি দাম অনুযায়ী ভালো।,Positive
ডেলিভারি যথাসময়ে পেয়েছি,Positive
ডেলিভারি সুপার স্ল ছিল,Negative
ডেলিভারিতে অনেক লেট করেছেন। এই প্রডাক্ট রিটার্ন করে আমাকে কটন সুতার Lসাইজ টি শার্ট দেওয়ার জন্য অনুরোধ জানাচ্ছি।,Negative
